"Film","Year","Rotten.Tomatoes..critics","Metacritic..critics","Rotten.Tomatoes.Audience","Metacritic.Audience","Primary.Genre","Opening.weekend...million.","Domestic.gross...million.","Foreign.Gross...million.","Worldwide.Gross...million.","X..of.Gross.earned.abroad","Budget...million.","Oscar.Winners","Oscar.Detail","Distributor","IMDb.Rating","Release.Date..US."
"Ambulance",2022,"69","55",88,"56","thriller","8.7","22.3","29.5","51.8","56.96","40.0","","","Universal Pictures",6.1,NA
"Amsterdam",2022,"32","48",62,"52","comedy","6.4","14.9","14.5","29.4","49.16","80.0","","","Walt Disney Studios Motion Pictures",6.1,NA
"Armageddon Time",2022,"75","74",48,"66","drama","0.1","1.9","4.7","6.6","71.63","15.0","","","Universal Pictures",6.5,NA
"Babylon",2022,"57","61",52,"70","comedy","3.6","15.4","47.9","63.3","75.73","110.0","","","Paramount Pictures",7.1,NA
"Barbarian",2022,"92","78",71,"74","thriller","10.5","40.8","4.5","45.4","9.94","4.5","","","20th Century Studios",7,NA
"Beast",2022,"68","54",77,"48","thriller","11.6","31.8","27.3","59.2","46.18","36.0","","","Universal Pictures",5.6,NA
"Black Adam",2022,"39","41",89,"72","action","67.0","168.2","223.1","391.3","57.02","200.0","","","Warner Bros. Pictures",6.3,NA
"Black Panther: Wakanda Forever",2022,"84","67",94,"54","action","181.3","453.8","400.2","854.0","46.86","250.0","Oscar Winner","Best Costume Design","Walt Disney Studios Motion Pictures",6.7,NA
"Bones and All",2022,"82","74",62,"70","drama","0.1","7.8","6.3","14.1","44.51","20.0","","","Metro-Goldwyn-Mayer (MGM)",6.8,NA
"Bros",2022,"88","72",90,"41","comedy","4.9","11.6","3.2","14.8","21.60","22.0","","","Universal Pictures",6.4,NA
"Bullet Train",2022,"53","49",76,"71","action","30.0","103.4","135.2","238.5","56.67","85.9","","","Sony Pictures",7.3,NA
"Clerks III",2022,"63","50",93,"49","comedy","0.7","4.7","0.1","4.7","1.58","7.0","","","Lionsgate Films",6.3,NA
"Crimes of the Future",2022,"80","67",50,"62","drama","1.1","2.5","1.2","3.6","31.92","27.0","","","Vertigo Films",5.8,NA
"Cyrano",2022,"85","66",86,"55","drama","1.4","3.9","2.1","6.0","35.31","30.0","","","Universal Pictures",6.4,NA
"DC League of Super-Pets",2022,"73","56",88,"58","action","23.0","93.7","110.2","203.9","54.06","90.0","","","Warner Bros. Pictures",7.1,NA
"Death on the Nile",2022,"62","52",82,"55","thriller","12.9","45.6","84.7","130.3","64.98","90.0","","","20th Century Studios",6.3,NA
"Devotion",2022,"82","66",92,"61","drama","5.9","20.5","0.4","20.9","1.72","90.0","","","Sony Pictures",6.6,NA
"Doctor Strange in the Multiverse of Madness",2022,"74","60",85,"59","action","187.4","411.3","540.9","952.2","56.80","200.0","","","Walt Disney Studios Motion Pictures",6.9,NA
"Dog",2022,"77","61",89,"63","comedy","14.9","61.8","22.9","84.7","27.04","15.0","","","Metro-Goldwyn-Mayer (MGM)",6.5,NA
"Don't Worry Darling",2022,"38","48",74,"43","thriller","19.4","45.3","41.3","86.6","47.69","35.0","","","Warner Bros. Pictures",6.3,NA
"Downton Abbey: A New Era",2022,"86","63",97,"62","drama","16.0","44.1","48.6","92.7","52.38","40.0","","","Universal Pictures",7.4,NA
"Easter Sunday",2022,"44","41",70,"34","comedy","5.4","13","0.0","13.0","0.06","17.0","","","Universal Pictures",5.3,NA
"Elvis",2022,"77","64",94,"76","drama","31.2","151","128.5","279.6","45.97","85.0","","","Warner Bros. Pictures",7.3,NA
